feature_id,condition_rtn,bits_rtn,layer_rtn,corr_rtn,firing_rate_rtn,mean_activation_rtn,max_activation_rtn,active_rtn,survived_>0.9_rtn,damaged_<0.5_rtn,condition_prune,bits_prune,layer_prune,corr_prune,firing_rate_prune,mean_activation_prune,max_activation_prune,active_prune,survived_>0.9_prune,damaged_<0.5_prune,damage_rtn,damage_prune,rtn_survived,prune_survived,rtn_non_survived,prune_non_survived,rtn_damaged,prune_damaged,rtn_degraded,prune_degraded
395,RTN INT6,6,4,0.9940420905829186,0.007627203525641,0.0088060253257982,5.899251937866211,True,True,False,Magnitude pruning matched INT6,16,4,0.9924171771288006,0.007627203525641,0.0088060253257982,5.899251937866211,True,True,False,0.005957909417081408,0.0075828228711993795,True,True,False,False,False,False,False,False
404,RTN INT6,6,4,0.9275219782696352,0.0197215544871794,0.0050033654781798,2.6273555755615234,True,True,False,Magnitude pruning matched INT6,16,4,0.8837573571971553,0.0197215544871794,0.0050033654781798,2.6273555755615234,True,False,False,0.07247802173036477,0.11624264280284469,True,False,False,True,False,False,False,True
408,RTN INT6,6,4,0.9741930456901408,0.0356971153846153,0.0159997766210625,4.646064758300781,True,True,False,Magnitude pruning matched INT6,16,4,0.973855646654382,0.0356971153846153,0.0159997766210625,4.646064758300781,True,True,False,0.025806954309859242,0.026144353345618043,True,True,False,False,False,False,False,False
410,RTN INT6,6,4,0.9872444450919172,0.0026241987179487,0.0024050740340055,3.480690717697144,True,True,False,Magnitude pruning matched INT6,16,4,0.9880493289519238,0.0026241987179487,0.0024050740340055,3.480690717697144,True,True,False,0.012755554908082778,0.011950671048076233,True,True,False,False,False,False,False,False
415,RTN INT6,6,4,0.9498938383448567,0.0202624198717948,0.0049179836904677,2.3524131774902344,True,True,False,Magnitude pruning matched INT6,16,4,0.9510692058161432,0.0202624198717948,0.0049179836904677,2.3524131774902344,True,True,False,0.050106161655143255,0.04893079418385682,True,True,False,False,False,False,False,False
417,RTN INT6,6,4,0.9403245211075272,0.003330328525641,0.0009447185525622,1.8689069747924805,True,True,False,Magnitude pruning matched INT6,16,4,0.9252197327167688,0.003330328525641,0.0009447185525622,1.8689069747924805,True,True,False,0.05967547889247282,0.07478026728323117,True,True,False,False,False,False,False,False
418,RTN INT6,6,4,0.978254920010816,0.0054437099358974,0.0019582297109688,5.449143886566162,True,True,False,Magnitude pruning matched INT6,16,4,0.972292879366642,0.0054437099358974,0.0019582297109688,5.449143886566162,True,True,False,0.021745079989183957,0.027707120633358007,True,True,False,False,False,False,False,False
427,RTN INT6,6,4,0.6574243823160285,0.0323267227564102,0.0050874184437979,1.344177007675171,True,False,False,Magnitude pruning matched INT6,16,4,0.7725083132616116,0.0323267227564102,0.0050874184437979,1.344177007675171,True,False,False,0.3425756176839715,0.22749168673838838,False,False,True,True,False,False,True,True
428,RTN INT6,6,4,0.9888770781458838,0.0115584935897435,0.0100900453691466,3.961892604827881,True,True,False,Magnitude pruning matched INT6,16,4,0.9858058441684784,0.0115584935897435,0.0100900453691466,3.961892604827881,True,True,False,0.01112292185411623,0.014194155831521615,True,True,False,False,False,False,False,False
430,RTN INT6,6,4,0.920110814749284,0.0143479567307692,0.0035205526355033,4.308005332946777,True,True,False,Magnitude pruning matched INT6,16,4,0.9364813620843584,0.0143479567307692,0.0035205526355033,4.308005332946777,True,True,False,0.07988918525071598,0.06351863791564161,True,True,False,False,False,False,False,False
448,RTN INT6,6,4,0.8952549663580428,0.0133764022435897,0.0022450126203087,1.5334570407867432,True,False,False,Magnitude pruning matched INT6,16,4,0.8546847608034125,0.0133764022435897,0.0022450126203087,1.5334570407867432,True,False,False,0.1047450336419572,0.1453152391965875,False,False,True,True,False,False,True,True
450,RTN INT6,6,4,0.596866104202605,0.0018880208333333,0.0003274592436635,1.2732117176055908,True,False,False,Magnitude pruning matched INT6,16,4,0.6719318049740831,0.0018880208333333,0.0003274592436635,1.2732117176055908,True,False,False,0.403133895797395,0.3280681950259169,False,False,True,True,False,False,True,True
460,RTN INT6,6,4,0.952107346572222,0.042022235576923,0.0104617825513765,2.115433692932129,True,True,False,Magnitude pruning matched INT6,16,4,0.9480942545756366,0.042022235576923,0.0104617825513765,2.115433692932129,True,True,False,0.04789265342777804,0.051905745424363436,True,True,False,False,False,False,False,False
463,RTN INT6,6,4,0.9424733597118784,0.0012119391025641,0.000423664940545,3.976539134979248,True,True,False,Magnitude pruning matched INT6,16,4,0.9548013157102424,0.0012119391025641,0.000423664940545,3.976539134979248,True,True,False,0.0575266402881216,0.045198684289757596,True,True,False,False,False,False,False,False
465,RTN INT6,6,4,0.9298563367815792,0.006475360576923,0.0015085256377903,2.073376178741455,True,True,False,Magnitude pruning matched INT6,16,4,0.9388827787423564,0.006475360576923,0.0015085256377903,2.073376178741455,True,True,False,0.0701436632184208,0.06111722125764363,True,True,False,False,False,False,False,False
467,RTN INT6,6,4,0.8281829599658551,0.0487580128205128,0.0103179612620853,1.7436991930007937,True,False,False,Magnitude pruning matched INT6,16,4,0.8264354366904785,0.0487580128205128,0.0103179612620853,1.7436991930007937,True,False,False,0.17181704003414489,0.17356456330952152,False,False,True,True,False,False,True,True
468,RTN INT6,6,4,0.99737037268996,0.0017978766025641,0.0035246782786905,6.512085914611816,True,True,False,Magnitude pruning matched INT6,16,4,0.9955471412564496,0.0017978766025641,0.0035246782786905,6.512085914611816,True,True,False,0.002629627310040017,0.004452858743550392,True,True,False,False,False,False,False,False
